x,y,u,v,p
3.12500000e+00,1.25000000e-02,7.95094158e-02,4.18161827e-05,3.64754348e-01
3.17500000e+00,1.25000000e-02,7.93452456e-02,4.02724509e-05,3.57835045e-01
3.22500000e+00,1.25000000e-02,7.91871181e-02,3.87918351e-05,3.50947546e-01
3.27500000e+00,1.25000000e-02,7.90347931e-02,3.73684462e-05,3.44090779e-01
3.32500000e+00,1.25000000e-02,7.88880368e-02,3.60062398e-05,3.37263673e-01
3.37500000e+00,1.25000000e-02,7.87466281e-02,3.46967165e-05,3.30465242e-01
3.42500000e+00,1.25000000e-02,7.86103601e-02,3.34397581e-05,3.23694500e-01
3.47500000e+00,1.25000000e-02,7.84790305e-02,3.22296216e-05,3.16950502e-01
3.52500000e+00,1.25000000e-02,7.83524467e-02,3.10633619e-05,3.10232348e-01
3.57500000e+00,1.25000000e-02,7.82304280e-02,2.99447652e-05,3.03539149e-01
3.62500000e+00,1.25000000e-02,7.81128002e-02,2.88674076e-05,2.96870069e-01
3.67500000e+00,1.25000000e-02,7.79993981e-02,2.78331852e-05,2.90224278e-01
3.72500000e+00,1.25000000e-02,7.78900624e-02,2.68364956e-05,2.83600988e-01
3.77500000e+00,1.25000000e-02,7.77846399e-02,2.58765784e-05,2.76999435e-01
3.82500000e+00,1.25000000e-02,7.76829856e-02,2.49518472e-05,2.70418874e-01
3.87500000e+00,1.25000000e-02,7.75849571e-02,2.40609589e-05,2.63858594e-01
3.92500000e+00,1.25000000e-02,7.74904216e-02,2.32049085e-05,2.57317908e-01
3.97500000e+00,1.25000000e-02,7.73992533e-02,2.23793110e-05,2.50796148e-01
4.02500000e+00,1.25000000e-02,7.73113251e-02,2.15834874e-05,2.44292665e-01
4.07500000e+00,1.25000000e-02,7.72265194e-02,2.08184598e-05,2.37806841e-01
4.12500000e+00,1.25000000e-02,7.71447260e-02,2.00803669e-05,2.31338075e-01
4.17500000e+00,1.25000000e-02,7.70658328e-02,1.93697699e-05,2.24885773e-01
4.22500000e+00,1.25000000e-02,7.69897324e-02,1.86819126e-05,2.18449389e-01
4.27500000e+00,1.25000000e-02,7.69163259e-02,1.80217992e-05,2.12028366e-01
4.32500000e+00,1.25000000e-02,7.68455147e-02,1.73833753e-05,2.05622190e-01
4.37500000e+00,1.25000000e-02,7.67772059e-02,1.67699543e-05,1.99230350e-01
4.42500000e+00,1.25000000e-02,7.67113135e-02,1.61778222e-05,1.92852357e-01
4.47500000e+00,1.25000000e-02,7.66477484e-02,1.56065590e-05,1.86487732e-01
4.52500000e+00,1.25000000e-02,7.65864267e-02,1.50564115e-05,1.80136021e-01
4.57500000e+00,1.25000000e-02,7.65272714e-02,1.45252854e-05,1.73796782e-01
4.62500000e+00,1.25000000e-02,7.64702018e-02,1.40115562e-05,1.67469579e-01
4.67500000e+00,1.25000000e-02,7.64151392e-02,1.35164172e-05,1.61154007e-01
4.72500000e+00,1.25000000e-02,7.63620164e-02,1.30401862e-05,1.54849674e-01
4.77500000e+00,1.25000000e-02,7.63107685e-02,1.25824642e-05,1.48556185e-01
4.82500000e+00,1.25000000e-02,7.62613265e-02,1.21391519e-05,1.42273169e-01
4.87500000e+00,1.25000000e-02,7.62136256e-02,1.17122093e-05,1.36000266e-01
4.92500000e+00,1.25000000e-02,7.61676049e-02,1.12994562e-05,1.29737130e-01
4.97500000e+00,1.25000000e-02,7.61232027e-02,1.09015527e-05,1.23483422e-01
5.02500000e+00,1.25000000e-02,7.60803602e-02,1.05177222e-05,1.17238823e-01
5.07500000e+00,1.25000000e-02,7.60390237e-02,1.01484334e-05,1.11003022e-01
5.12500000e+00,1.25000000e-02,7.59991414e-02,9.79269495e-06,1.04775717e-01
5.17500000e+00,1.25000000e-02,7.59606616e-02,9.44916773e-06,9.85566185e-02
5.22500000e+00,1.25000000e-02,7.59235335e-02,9.11581397e-06,9.23454482e-02
5.27500000e+00,1.25000000e-02,7.58877074e-02,8.79548814e-06,8.61419335e-02
5.32500000e+00,1.25000000e-02,7.58531365e-02,8.48534118e-06,7.99458263e-02
5.37500000e+00,1.25000000e-02,7.58197791e-02,8.19025818e-06,7.37568686e-02
5.42500000e+00,1.25000000e-02,7.57875924e-02,7.90397423e-06,6.75748283e-02
5.47500000e+00,1.25000000e-02,7.57565293e-02,7.62926725e-06,6.13994693e-02
5.52500000e+00,1.25000000e-02,7.57265454e-02,7.36298197e-06,5.52305886e-02
5.57500000e+00,1.25000000e-02,7.56975996e-02,7.10899838e-06,4.90679785e-02
5.62500000e+00,1.25000000e-02,7.56696474e-02,6.86783306e-06,4.29114417e-02
5.67500000e+00,1.25000000e-02,7.56426322e-02,6.64118239e-06,3.67608018e-02
5.72500000e+00,1.25000000e-02,7.56164780e-02,6.43838620e-06,3.06159000e-02
5.77500000e+00,1.25000000e-02,7.55910496e-02,6.27977184e-06,2.44766258e-02
5.82500000e+00,1.25000000e-02,7.55659957e-02,6.24959888e-06,1.83429464e-02
5.87500000e+00,1.25000000e-02,7.55401354e-02,6.67916525e-06,1.22151426e-02
5.92500000e+00,1.25000000e-02,7.55090933e-02,8.83697177e-06,6.09457544e-03
5.97500000e+00,1.25000000e-02,7.54914132e-02,1.58138004e-05,0.00000000e+00
2.50000000e-02,3.75000000e-02,1.00266482e+00,1.54625135e-01,1.31179222e+00
7.50000000e-02,3.75000000e-02,9.49465044e-01,1.44212067e-01,1.31179222e+00
1.25000000e-01,3.75000000e-02,8.29690095e-01,9.76003912e-02,1.11816479e+00
1.75000000e-01,3.75000000e-02,7.12145578e-01,6.24929771e-02,1.01571258e+00
2.25000000e-01,3.75000000e-02,6.17720501e-01,4.10514817e-02,9.58007668e-01
2.75000000e-01,3.75000000e-02,5.46599503e-01,2.83423652e-02,9.20940827e-01
3.25000000e-01,3.75000000e-02,4.93486980e-01,2.05234973e-02,8.93980984e-01
3.75000000e-01,3.75000000e-02,4.53227099e-01,1.54426884e-02,8.72516307e-01
4.25000000e-01,3.75000000e-02,4.22043439e-01,1.19713018e-02,8.54339614e-01
4.75000000e-01,3.75000000e-02,3.97374024e-01,9.50194696e-03,8.38276222e-01
5.25000000e-01,3.75000000e-02,3.77490274e-01,7.68913245e-03,8.23644836e-01
5.75000000e-01,3.75000000e-02,3.61202192e-01,6.32480973e-03,8.10025615e-01
6.25000000e-01,3.75000000e-02,3.47668831e-01,5.27728372e-03,7.97148663e-01
6.75000000e-01,3.75000000e-02,3.36280997e-01,4.45962387e-03,7.84835069e-01
7.25000000e-01,3.75000000e-02,3.26587858e-01,3.81240374e-03,7.72963419e-01
7.75000000e-01,3.75000000e-02,3.18249760e-01,3.29380783e-03,7.61449709e-01
8.25000000e-01,3.75000000e-02,3.11006971e-01,2.87369940e-03,7.50234833e-01
8.75000000e-01,3.75000000e-02,3.04658377e-01,2.52992373e-03,7.39276489e-01
9.25000000e-01,3.75000000e-02,2.99046588e-01,2.24593421e-03,7.28543885e-01
9.75000000e-01,3.75000000e-02,2.94047286e-01,2.00919549e-03,7.18014123e-01
1.02500000e+00,3.75000000e-02,2.89561460e-01,1.81011453e-03,7.07669814e-01
1.07500000e+00,3.75000000e-02,2.85509658e-01,1.64127551e-03,6.97497364e-01
1.12500000e+00,3.75000000e-02,2.81827667e-01,1.49689943e-03,6.87485869e-01
1.17500000e+00,3.75000000e-02,2.78463240e-01,1.37245531e-03,6.77626291e-01
1.22500000e+00,3.75000000e-02,2.75373574e-01,1.26436218e-03,6.67910921e-01
1.27500000e+00,3.75000000e-02,2.72523379e-01,1.16977735e-03,6.58333014e-01
1.32500000e+00,3.75000000e-02,2.69883359e-01,1.08643020e-03,6.48886499e-01
1.37500000e+00,3.75000000e-02,2.67429038e-01,1.01249539e-03,6.39565845e-01
1.42500000e+00,3.75000000e-02,2.65139830e-01,9.46502296e-04,6.30365897e-01
1.47500000e+00,3.75000000e-02,2.62998304e-01,8.87254939e-04,6.21281828e-01
1.52500000e+00,3.75000000e-02,2.60989607e-01,8.33774508e-04,6.12309067e-01
1.57500000e+00,3.75000000e-02,2.59100993e-01,7.85260675e-04,6.03443265e-01
1.62500000e+00,3.75000000e-02,2.57321464e-01,7.41045808e-04,5.94680283e-01
1.67500000e+00,3.75000000e-02,2.55641465e-01,7.00581231e-04,5.86016149e-01
1.72500000e+00,3.75000000e-02,2.54052650e-01,6.63408330e-04,5.77447074e-01
1.77500000e+00,3.75000000e-02,2.52547680e-01,6.29134656e-04,5.68969417e-01
1.82500000e+00,3.75000000e-02,2.51120076e-01,5.97435743e-04,5.60579702e-01
1.87500000e+00,3.75000000e-02,2.49764086e-01,5.68028269e-04,5.52274592e-01
1.92500000e+00,3.75000000e-02,2.48474571e-01,5.40672203e-04,5.44050885e-01
1.97500000e+00,3.75000000e-02,2.47246933e-01,5.15161844e-04,5.35905534e-01
2.02500000e+00,3.75000000e-02,2.46077028e-01,4.91314542e-04,5.27835592e-01
